gender,komputer,usage
L ,7,Youtube 
L ,3,Coding 
L ,2,Youtube 
L ,2,Konten edukasi 
L ,5,Konten edukasi 
L ,1,Media sosial 
P ,3,Youtube 
L ,4,Media sosial 
L ,2,Youtube 
P ,6,Netflix 
P ,2,Konten edukasi 
P ,3,Konten edukasi 
L ,3,Netflix 
P ,5,Anime 
L ,7,Youtube 
L ,4,Netflix 
L ,1,Konten edukasi 
P ,3,Anime 
L ,2,Youtube 
P ,4,Media sosial 
L ,5,Game 
L ,1,Media sosial 
P ,0,Media sosial 
P ,4,Netflix 
P ,4,Konten edukasi 
P ,3,Youtube 
L ,6,Konten edukasi 
L ,3,Youtube 
P ,4,Youtube 
P ,5,Netflix 
P ,5,Media sosial 
P ,1,Media sosial 
P ,5,Game 
L ,2,Konten edukasi 
P ,4,Youtube 
L ,2,Netflix 
P ,5,Youtube 
P ,4,Youtube 
