gender,handphone,usage
Laki-laki,7,Media Sosial
Laki-laki,8,Media Sosial
Laki-laki,4,Media Sosial
Laki-laki,5,Media Sosial
Laki-laki,5,Media Sosial
Laki-laki,7,Media Sosial
Laki-laki,4,Media Sosial
Perempuan,5,Media Sosial
Laki-laki,7,Media Sosial
Laki-laki,7,Game
Perempuan,3,Konten edukasi
Perempuan,5,Media sosial
Laki-laki,12,Game
Perempuan,7,Media Sosial
Laki-laki,7,Media Sosial
Laki-laki,6,Konten edukasi
Perempuan,7,Game
Laki-laki,6,Media Sosial
Perempuan,7,Media Sosial
Laki-laki,5,Game
Laki-laki,7,Media Sosial
Perempuan,7,Media sosial
Perempuan,9,Media Sosial
Perempuan,5,Media Sosial
Perempuan,10,Konten edukasi
Perempuan,7,Media Sosial
